nombre;latitud;longitud;
Institucion educativa Isabel Linch de Rubio;-6.197800144;-77.85846326;
COLISEO MULTIUSOS SANTO TOMAS;-6.213426166;-77.87065339;
PEDRO CASTRO ALVA;-6.21451;-77.864965;
P.S Pedro Castro Alva;-6.2145312;-77.8654251;
COLEGIO JESUS MARIA;-6.216156607;-77.87031006;
Dental Jade Sonrisas JS;-6.21712133;-77.86520443;
SEÑOR DE LOS MILAGROS;-6.21856333;-77.87343;
C.S 09 DE ENERO;-6.218887033;-77.87374329;
"CONSULTORIO DE ATENCIÓN INTEGRAL ""REFLEJOS""";-6.22172661;-77.87326633;
"""SALUDENT"" - Atención Integral y Odontológica";-6.2218226;-77.871936;
CENTRO DE MEDICINA INTEGRAL Y NATURAL SALUD Y VIDA;-6.225749;-77.867544;
SANTA FE;-6.22626393;-77.86750382;
LABORATORIO CLÍNICO SAN LUIS;-6.22641398;-77.87417456;
CATS Chachapoyas;-6.22668841;-77.86690495;
LABORATORIO DENTAL CONFI DENT;-6.22719477;-77.86987559;
CONFI-DENT;-6.22726962;-77.86989706;
Asiri Sumaq;-6.22730968;-77.87107847;
CHACHADENT SAC;-6.22784029;-77.86826215;
9 DE ENERO;-6.22784085;-77.87932917;
SAMU AMAZONAS;-6.227855;-77.870565;
CRIZAL ÓPTICA;-6.2283519;-77.8710449;
CENTRO ODONTOLOGICO LORENTOOTH;-6.22867982;-77.86403711;
Consultorio odontológico DENTALPOINT;-6.2287025;-77.8673314;
Odontolinares;-6.22885084;-77.8707727;
Laboratorio Referencial de Salud Pública;-6.2289975;-77.86739311;
CENTRO MEDICO NEILL M. ROMAN ROBLES;-6.229026;-77.8750611;
CONSULTORIO ODONTOLOGICO VIVIDENT;-6.22904731;-77.87309899;
Emergencias en Cardiología;-6.22909348;-77.86746822;
Colegio San Juan De Libertad;-6.2293898;-77.8678429;
Coliseo Florentino Ordinola;-6.2295148;-77.8657029;
Ist. Peru Japon;-6.2295148;-77.8657029;
POLICLINICO PNP CHACHAPOYAS;-6.22952833;-77.86468833;
CLINICA VIRGEN ASUNTA S.A.C.;-6.229565;-77.869165;
Ópticas del Norte;-6.2295734;-77.8718628;
OPTICAS DEL NORTE;-6.2295771;-77.87161503;
CENTRO DE ATENCIÓN INTEGRAL DR. SAGASTEGUI E.I.R.L;-6.229599;-77.87187;
POLICLINICO POLICIAL CHACHAPOYAS;-6.22961076;-77.86466799;
LABORATORIO DENTAL ROJAS;-6.22963677;-77.86773378;
Dental Jade Sonrisas;-6.22965342;-77.87026308;
SDENT;-6.2296601;-77.863419;
SIADENT;-6.22969608;-77.86787055;
Consultorios Médicos Montoya;-6.22970942;-77.86571673;
Óptica Universal JW;-6.229711;-77.86873732;
SERVICIOS GENERALES OMEGA;-6.22971475;-77.86879591;
SONRIEME CENTRO ODONTOLOGICO;-6.22972174;-77.87069441;
CONSULTORIO DENTAL DEL PUEBLO;-6.22973113;-77.86980516;
